timestamp, frame, x, y, z, qx, qy, qz, qw
1733657898.7474537, 000000, -0.0008354448, -0.0018427037, -0.002334807, 0.6500934, -0.5391066, -0.29998073, 0.44356993
1733657898.7641296, 000001, -0.0010765506, -0.002015906, -0.0028510648, 0.6504808, -0.5385299, -0.30223334, 0.44217098
1733657898.780805, 000002, -0.0014210241, -0.0022661537, -0.0033979397, 0.6505144, -0.5390118, -0.30209118, 0.4416312
1733657898.7974813, 000003, -0.0020393557, -0.0025393646, -0.004014546, 0.65114844, -0.5385797, -0.30112123, 0.44188637
1733657898.814157, 000004, -0.0025077914, -0.0025759153, -0.0042145345, 0.65184337, -0.5371876, -0.3000527, 0.44328102
1733657898.8308332, 000005, -0.0033264428, -0.002813394, -0.0047429977, 0.6529073, -0.53578126, -0.2983346, 0.44457513
1733657898.847509, 000006, -0.004116479, -0.0030838363, -0.005282471, 0.65412784, -0.5349371, -0.29681805, 0.44481242
1733657898.8641849, 000007, -0.005701388, -0.0032899622, -0.0060902704, 0.6560224, -0.5333644, -0.29783177, 0.44323033
1733657898.8808603, 000008, -0.0069180634, -0.003564943, -0.006872169, 0.6563018, -0.5335497, -0.2980044, 0.44247717
1733657898.914212, 000009, -0.008328705, -0.0041767694, -0.008136632, 0.65644014, -0.5330838, -0.29929212, 0.44196394
1733657898.9308882, 000010, -0.0091219265, -0.0045216456, -0.008784452, 0.65680605, -0.5323458, -0.2997362, 0.44200897
1733657898.947564, 000011, -0.010017468, -0.0048908107, -0.009516573, 0.65737826, -0.53168947, -0.29968315, 0.4419843
1733657898.9642398, 000012, -0.011053502, -0.005157797, -0.010297805, 0.6603888, -0.52870667, -0.30210337, 0.43941936
1733657898.9809153, 000013, -0.0121541675, -0.005587185, -0.01127694, 0.66091186, -0.527982, -0.30147654, 0.43993467
1733657899.0642948, 000014, -0.014985942, -0.004700313, -0.014471464, 0.66153646, -0.5268269, -0.30116975, 0.44059005
1733657899.0809705, 000015, -0.016100492, -0.0050008874, -0.015811762, 0.66177964, -0.5262468, -0.3005005, 0.4413745
1733657899.0976465, 000016, -0.017427048, -0.005314719, -0.01707887, 0.661238, -0.52780426, -0.3011467, 0.43988377
1733657899.1143222, 000017, -0.018821029, -0.005637902, -0.01861876, 0.6613802, -0.52740884, -0.30027264, 0.44074085
1733657899.1810255, 000018, -0.025212238, -0.007385725, -0.02611375, 0.66224015, -0.5261623, -0.2963479, 0.44358653
1733657899.1977017, 000019, -0.027773678, -0.0074246163, -0.024904115, 0.6619729, -0.52810574, -0.29689226, 0.44130608
1733657899.2143774, 000020, -0.029889278, -0.007851313, -0.026019102, 0.6621105, -0.5282899, -0.29613778, 0.44138625
1733657899.231053, 000021, -0.032098543, -0.008454711, -0.027801245, 0.6617433, -0.52740955, -0.29680935, 0.4425372
1733657899.2977567, 000022, -0.044358782, -0.011906539, -0.038391154, 0.6624164, -0.52719665, -0.29308212, 0.44426462
1733657899.3144324, 000023, -0.04972968, -0.013015038, -0.041520324, 0.66312796, -0.5263824, -0.29298422, 0.4442333
1733657899.3311083, 000024, -0.05371295, -0.014219937, -0.04450321, 0.6641277, -0.52615696, -0.29295698, 0.4430232
1733657899.3477843, 000025, -0.057337105, -0.015531039, -0.04747893, 0.66537565, -0.52641356, -0.29315224, 0.44071054
1733657899.3978117, 000026, -0.070543595, -0.019785494, -0.056251723, 0.6692733, -0.5286432, -0.29437792, 0.43122068
1733657899.4144874, 000027, -0.07712558, -0.021141842, -0.05925769, 0.6714354, -0.52773064, -0.29350007, 0.42957252
1733657899.4311633, 000028, -0.08316688, -0.022882707, -0.06355643, 0.67324555, -0.5259802, -0.29163346, 0.43015715
1733657899.4478393, 000029, -0.089360565, -0.024897475, -0.068690315, 0.6746581, -0.523869, -0.28867233, 0.43251133
1733657899.5145426, 000030, -0.12229569, -0.03373541, -0.09231044, 0.6801444, -0.5103741, -0.26677683, 0.45359877
1733657899.5312188, 000031, -0.13085622, -0.036125425, -0.09918846, 0.6807963, -0.5073753, -0.2614503, 0.45905373
1733657899.5478945, 000032, -0.13889779, -0.0385665, -0.106584966, 0.68039054, -0.5056102, -0.25671232, 0.46424764
1733657899.5645704, 000033, -0.14683017, -0.0410207, -0.114341006, 0.6789952, -0.50436366, -0.25304186, 0.4696303
1733657899.6312737, 000034, -0.18647982, -0.04991908, -0.14882647, 0.67123574, -0.50393474, -0.24416156, 0.4856722
1733657899.6479495, 000035, -0.19602296, -0.052077513, -0.15806635, 0.66888446, -0.50510776, -0.24392085, 0.48781377
1733657899.6646254, 000036, -0.20582347, -0.054174986, -0.16761802, 0.6669423, -0.50624895, -0.24355026, 0.48947233
1733657899.6813014, 000037, -0.21573691, -0.05612881, -0.17757323, 0.6648627, -0.5089225, -0.24055162, 0.49100953
1733657899.7480047, 000038, -0.26177958, -0.059779935, -0.21992166, 0.65435123, -0.52414817, -0.2482675, 0.4852385
1733657899.7646806, 000039, -0.27270463, -0.059646524, -0.23126137, 0.6499739, -0.52743256, -0.25310785, 0.4850621
1733657899.7813563, 000040, -0.28381318, -0.059033114, -0.24302357, 0.64514506, -0.5306121, -0.25573596, 0.48665994
1733657899.7980323, 000041, -0.29731017, -0.05879372, -0.25520068, 0.64086527, -0.53514457, -0.2593669, 0.48542842
1733657899.8647358, 000042, -0.3499982, -0.05187856, -0.30555546, 0.62974644, -0.55430174, -0.26410583, 0.4758331
1733657899.8814116, 000043, -0.3635197, -0.049243297, -0.31843215, 0.6274794, -0.55694574, -0.26160207, 0.47712195
1733657899.8980877, 000044, -0.37914735, -0.047930196, -0.33123776, 0.6257874, -0.55759233, -0.26037872, 0.4792535
1733657899.9147632, 000045, -0.3950915, -0.04654828, -0.34372672, 0.62482446, -0.55744946, -0.25931516, 0.48124835
1733657899.9814668, 000046, -0.45078275, -0.034042194, -0.3883283, 0.6226932, -0.5571091, -0.2690558, 0.47905284
1733657899.998143, 000047, -0.46600288, -0.032500327, -0.3987452, 0.6223304, -0.55769366, -0.2708393, 0.47783744
1733657900.0148187, 000048, -0.48152566, -0.031339303, -0.4089571, 0.62291527, -0.55709016, -0.27334368, 0.47635102
1733657900.0314944, 000049, -0.49590012, -0.029440798, -0.41886175, 0.62412035, -0.5573063, -0.27456328, 0.4738128
